Lane,Sample,Index
*,STARR_15,SI-GA-E4
*,ND_Young,SI-GA-H4
*,HFD_Young,SI-GA-A5
*,ND_Old,SI-GA-B5
*,HFD_Old,SI-GA-C5
*,Buttons_Marmoset,SI-GA-D5
