"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"Button_combine_force","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/Button_combine_force/outs/molecule_info.h5","Buttons",34
"Evie","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Evie/outs/molecule_info.h5","Evie",408
"Norton_combine_force","/media/jianie/SequencingFiles_3/20210716_L2_counts_single/Norton_combine_force/outs/molecule_info.h5","Norton",74
"Olaf","/media/jianie/Seagate_SequencingFiles_1/20210114_UTA_NovaSeq_L3_Counts/Olaf/outs/molecule_info.h5","Olaf",409
"Rapa_Mar_combine","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/Rapa_Mar_combine/outs/molecule_info.h5","Rapa",46
