"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"STARR_087_2_combine_force9500","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_087_2_combine_force9500/outs/molecule_info.h5","STARR_087",379
"STARR_093_2_combine_force16000","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_093_2_combine_force16000/outs/molecule_info.h5","STARR_093",381
"STARR_095_force5902","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_095_force5902/outs/molecule_info.h5","STARR_095",383
"STARR_099_2_combine_force13500","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_099_2_combine_force13500/outs/molecule_info.h5","STARR_099",380
"STARR_104_force6790","/media/jianie/SequencingFiles_7/20221107_Counts/STARR_104_force6790/outs/molecule_info.h5","STARR_104",382
