Lane,Sample,Index
3,766-32,SI-TT-D6
3,766-43,SI-TT-E6
3,766-47_V5,SI-TT-B7
3,STARR051,SI-TT-C7
3,766-38_Fat,SI-TT-D7
3,766-38_Muscle,SI-TT-E7
3,766-49_V5,SI-TT-F7
